Name,Competition,Team,Appearances,Lineups,Minutes,Goals,Assists,Shots Total,Shots On,Passes Total,Key Passes,Pass Accuracy,Duels Total,Duels Won,Dribbles Attempts,Dribbles Success,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Penalties Scored,Penalties Missed
Jude Bellingham,La Liga,Real Madrid,28,27,2324,19,6.0,49.0,35.0,1500.0,48.0,48.0,345.0,189.0,85.0,50.0,72.0,32.0,5,1,1.0,0.0
Jude Bellingham,Copa del Rey,Real Madrid,1,1,120,0,1.0,2.0,1.0,88.0,4.0,78.0,18.0,11.0,8.0,6.0,3.0,2.0,1,0,0.0,0.0
Jude Bellingham,UEFA Champions League,Real Madrid,11,11,994,4,5.0,12.0,6.0,505.0,21.0,45.0,122.0,67.0,29.0,19.0,18.0,6.0,2,0,0.0,0.0
Jude Bellingham,UEFA Champions League,Borussia Dortmund,0,0,0,0,5.0,12.0,6.0,505.0,21.0,45.0,122.0,67.0,29.0,19.0,18.0,6.0,0,0,0.0,0.0
Jude Bellingham,Friendlies Clubs,Real Madrid,4,4,273,1,,,,,,,,,,,,,0,0,,
Jude Bellingham,Friendlies Clubs,Borussia Dortmund,1,1,46,0,,,,,,,,,,,,,0,0,,
Jude Bellingham,Euro Championship - Qualification,England,4,4,321,0,1.0,4.0,3.0,155.0,4.0,31.0,54.0,32.0,16.0,12.0,10.0,2.0,0,0,0.0,0.0
Jude Bellingham,Friendlies,England,1,1,84,1,,,,,,,,,,,,,1,0,,
Erling Haaland,Premier League,Manchester City,31,29,2559,27,5.0,98.0,59.0,381.0,29.0,9.0,184.0,88.0,28.0,12.0,31.0,18.0,1,0,7.0,1.0
Erling Haaland,League Cup,Manchester City,0,0,0,0,,,,,,,,,,,,,0,0,0.0,0.0
Erling Haaland,FA Cup,Manchester City,3,3,254,5,0.0,4.0,,32.0,1.0,11.0,21.0,6.0,4.0,1.0,3.0,3.0,0,0,0.0,0.0
Erling Haaland,UEFA Super Cup,Manchester City,1,1,90,0,,,,,,,,,,,,,0,0,,
Erling Haaland,UEFA Champions League,Manchester City,9,9,779,6,1.0,38.0,22.0,88.0,8.0,7.0,42.0,23.0,9.0,3.0,4.0,4.0,0,0,2.0,0.0
Erling Haaland,FIFA Club World Cup,Manchester City,0,0,0,0,,,,,,,,,,,,,0,0,,
Erling Haaland,Friendlies Clubs,Manchester City,2,1,99,0,,,,,,,,,,,,,0,0,,
Erling Haaland,Euro Championship - Qualification,Norway,5,5,428,6,1.0,10.0,9.0,47.0,3.0,6.0,29.0,12.0,7.0,,3.0,3.0,0,0,2.0,0.0
Erling Haaland,Friendlies,Norway,1,0,44,0,,1.0,,10.0,,7.0,1.0,1.0,1.0,1.0,,,0,0,0.0,0.0
Harry Kane,Bundesliga,Bayern München,32,32,2844,36,8.0,109.0,67.0,621.0,31.0,14.0,236.0,107.0,56.0,24.0,39.0,10.0,2,0,5.0,0.0
Harry Kane,Premier League,Tottenham,0,0,0,0,,,,,,,,,,,,,0,0,,
Harry Kane,DFB Pokal,Bayern München,0,0,0,0,,,,,,,,,,,,,0,0,0.0,0.0
Harry Kane,League Cup,Tottenham,0,0,0,0,,,,,,,,,,,,,0,0,,
Harry Kane,UEFA Champions League,Bayern München,12,12,1065,8,3.0,25.0,14.0,189.0,11.0,11.0,106.0,58.0,10.0,2.0,25.0,13.0,1,0,2.0,0.0
Harry Kane,Friendlies Clubs,Tottenham,3,3,172,5,,,,,,,,,,,,,0,0,,
Harry Kane,Euro Championship - Qualification,England,8,7,607,8,2.0,15.0,11.0,142.0,6.0,13.0,79.0,33.0,21.0,7.0,12.0,9.0,1,0,4.0,0.0
Harry Kane,Friendlies,England,1,1,84,1,,,,,,,,,,,,,0,0,,
Kylian Mbappé,Ligue 1,Paris Saint Germain,29,24,2159,27,7.0,91.0,59.0,931.0,40.0,27.0,224.0,103.0,123.0,61.0,38.0,19.0,4,0,6.0,2.0
Kylian Mbappé,Coupe de France,Paris Saint Germain,6,6,540,8,3.0,31.0,23.0,268.0,11.0,38.0,52.0,30.0,36.0,21.0,5.0,4.0,0,0,1.0,1.0
Kylian Mbappé,UEFA Champions League,Paris Saint Germain,12,12,1080,8,,42.0,27.0,365.0,26.0,25.0,117.0,54.0,66.0,36.0,12.0,11.0,1,0,2.0,0.0
Kylian Mbappé,Friendlies Clubs,Paris Saint Germain,1,0,24,1,,,,,,,,,,,,,0,0,,
Kylian Mbappé,Euro Championship - Qualification,France,8,7,656,9,5.0,29.0,16.0,412.0,18.0,44.0,69.0,33.0,36.0,21.0,10.0,4.0,1,0,3.0,0.0
Kylian Mbappé,Friendlies,France,1,1,87,1,,,,,,,,,,,,,0,0,,
Vinícius Jr.,La Liga,Real Madrid,26,22,1875,15,5.0,62.0,39.0,623.0,32.0,18.0,311.0,138.0,160.0,65.0,54.0,24.0,7,0,1.0,0.0
Vinícius Jr.,Copa del Rey,Real Madrid,1,1,120,0,,4.0,2.0,34.0,1.0,25.0,18.0,6.0,12.0,5.0,1.0,2.0,1,0,0.0,0.0
Vinícius Jr.,UEFA Champions League,Real Madrid,10,10,902,6,4.0,24.0,13.0,274.0,19.0,21.0,135.0,62.0,73.0,37.0,14.0,10.0,3,0,1.0,0.0
Vinícius Jr.,Friendlies Clubs,Real Madrid,4,3,283,2,,,,,,,,,,,,,0,0,,
Vinícius Jr.,Friendlies,Brazil,3,3,270,1,,,,,,,,,,,,,0,0,,
